fid,立木ID,立木番号,樹種,胸高直径,樹高,矢高,材積,ステータス,間伐,レ,境界木,除外木,調査地範囲,コメント,幹周,経度,緯度,平面直角Ｘ,平面直角Ｙ,エリア
249,643,-1,スギ,43.10160065,20.10000038,2.433399916,1.222380519,生立木,0,0,0,0,1,,135.3999939,136.9271495,37.29738319,143984.5161,-21234.3965,A1_5a
250,646,-1,スギ,38.80750275,25.20000076,2.932199955,1.262941241,生立木,0,0,0,0,1,,121.8000031,136.92741,37.29712142,143955.4092,-21211.37783,A1_5a
251,647,-1,スギ,51.20789719,24.5,1.668300033,2.038205862,生立木,0,0,0,0,1,,160.8000031,136.9274539,37.29711203,143954.3568,-21207.48705,A1_5a
252,649,-1,スギ,33.55089951,24,2.099600077,0.922301054,生立木,0,0,0,0,1,,105.1999969,136.9274067,37.29720275,143964.4348,-21211.64961,A1_5a
253,650,-1,スギ,22.91589928,17.39999962,2.111899853,0.33404541,生立木,0,0,0,0,1,,71.90000153,136.9274644,37.29720342,143964.4968,-21206.52934,A1_5a
254,651,-1,スギ,44.9408989,25.20000076,2.228800058,1.651232004,生立木,0,0,0,0,1,,141,136.9273677,37.2972083,143965.0595,-21215.10294,A1_5a
255,652,-1,スギ,21.57299995,17.5,3.011300087,0.300857306,生立木,0,0,0,0,1,,67.5,136.9274385,37.29722812,143967.2434,-21208.82343,A1_5a
256,653,-1,スギ,24.17090035,18.70000076,0.775900006,0.395513177,生立木,0,0,0,0,1,,75.69999695,136.9274278,37.29724702,143969.3426,-21209.76853,A1_5a
257,654,-1,アカマツ,11.30000019,9.5,10.10000038,0.051172487,生立木,0,0,0,0,1,,35.40000153,136.9273487,37.29726582,143971.4466,-21216.77404,A1_5a
258,657,-1,スギ,49.91880035,23.5,0.995400071,1.866638303,生立木,0,0,0,0,1,,156.6999969,136.9273357,37.29740905,143987.3449,-21217.88239,A1_5a
259,658,-1,スギ,40.37430191,22.5,1.467300057,1.21324861,生立木,0,0,0,0,1,,126.5999985,136.9273096,37.29739309,143985.5792,-21220.20169,A1_5a
260,659,-1,スギ,35.23870087,25.29999924,2.123500109,1.063035727,生立木,0,0,0,0,1,,110.5,136.9272561,37.29743931,143990.7205,-21224.93114,A1_5a
261,660,-1,スギ,58.66400147,25,1.287800074,2.665681601,生立木,0,0,0,0,1,,184,136.9272293,37.2974048,143986.8968,-21227.32336,A1_5a
262,661,-1,アカマツ,14.5,0.100000001,0,0.001228604,生立木,0,0,0,0,1,,45.5,136.9272057,37.2973865,143984.8713,-21229.41551,A1_5a
263,662,-1,スギ,48.73089981,24.60000038,3.446099758,1.869236946,生立木,0,0,0,0,1,,152.8999939,136.9271935,37.29737079,143983.1306,-21230.50629,A1_5a
264,663,-1,アカマツ,17.20000076,14.89999962,5.099999905,0.16583167,生立木,0,0,0,0,1,,54,136.927169,37.29735958,143981.8923,-21232.679,A1_5a
265,664,-1,スギ,45.05669785,18.79999924,1.454399943,1.240482926,生立木,0,0,0,0,1,,141.3000031,136.9271158,37.29747388,143994.5884,-21237.36343,A1_5a
266,665,-1,スギ,36.34410095,16,1.459200025,0.713826239,生立木,0,0,0,0,1,,114,136.9270529,37.29746698,143993.8372,-21242.94463,A1_5a
267,670,-1,アカマツ,5.400000095,0.100000001,0,0.000308758,生立木,0,0,0,0,1,,16.89999962,136.9271902,37.29734039,143979.7576,-21230.80449,A1_5a
268,671,-1,スギ,39.01740265,22.29999924,0.694000006,1.129738212,生立木,0,0,0,0,1,,122.5,136.9273507,37.29742181,143988.7574,-21216.55411,A1_5a
269,672,-1,スギ,36.37020111,23.60000038,1.390900016,1.05111289,生立木,0,0,0,0,1,,114,136.9272816,37.29740736,143987.1694,-21222.67871,A1_5a
270,673,-1,スギ,41.63529968,18.10000038,1.696500063,1.034137964,生立木,0,0,0,0,1,,130.6000061,136.9273515,37.2974625,143993.2727,-21216.46863,A1_5a
271,674,-1,スギ,37.26689911,26.20000076,0.63319999,1.219024897,生立木,0,0,0,0,1,,116.8000031,136.9272406,37.29745738,143992.7291,-21226.30621,A1_5a
272,675,-1,スギ,52.1393013,26.10000038,2.503499985,2.242910862,生立木,0,0,0,0,1,,163.6000061,136.927211,37.29746934,143994.0634,-21228.92126,A1_5a
273,676,-1,スギ,41.55870056,20.79999924,2.182600021,1.183137894,生立木,0,0,0,0,1,,130.3000031,136.9271794,37.29743407,143990.1557,-21231.73068,A1_5a
274,677,-1,アカマツ,10.89999962,5.800000191,8.399999619,0.033508755,生立木,0,0,0,0,1,,34.20000076,136.9271625,37.29739538,143985.8659,-21233.24076,A1_5a
275,678,-1,スギ,47.97800064,24.79999924,2.47300005,1.831467867,生立木,0,0,0,0,1,,150.3999939,136.9271829,37.29747209,143994.3743,-21231.41753,A1_5a
276,679,-1,アカマツ,14.69999981,17.70000076,3.099999905,0.146064982,生立木,0,0,0,0,1,,46.09999847,136.9271733,37.29745564,143992.5507,-21232.26977,A1_5a
277,680,-1,スギ,46.18309784,19.29999924,1.986300111,1.331968307,生立木,0,0,0,0,1,,144.8000031,136.9270897,37.29750186,143997.6993,-21239.67033,A1_5a
278,681,-1,スギ,39.39170075,18.89999962,7.434599876,0.97558558,生立木,0,0,0,0,1,,123.4000015,136.9270728,37.29747897,143995.1632,-21241.17461,A1_5a
279,684,-1,スギ,38.85499954,24.29999924,2.255300045,1.220903754,生立木,0,0,0,0,1,,121.8000031,136.9272248,37.29742809,143989.482,-21227.71073,A1_5a
280,685,-1,スギ,21.7343998,13.89999962,28.58859825,0.242674738,生立木,0,0,0,0,1,,68.09999847,136.9271409,37.29744133,143990.9708,-21235.14618,A1_5a
281,686,-1,アカマツ,15.30000019,11.5,4.199999809,0.105706602,生立木,0,0,0,0,1,,48,136.9271861,37.29753987,144001.8958,-21231.11425,A1_5a
282,687,-1,スギ,47.21039963,22.79999924,1.997699976,1.635941863,生立木,0,0,0,0,1,,148.1999969,136.9271838,37.2975615,144004.2968,-21231.31305,A1_5a
283,688,-1,スギ,40.49020004,24.5,1.878800035,1.32715559,生立木,0,0,0,0,1,,126.9000015,136.9271525,37.29753321,144001.1639,-21234.08982,A1_5a
284,689,-1,スギ,41.14379883,21.89999962,0.660699964,1.222593307,生立木,0,0,0,0,1,,129.1000061,136.9271763,37.29759621,144008.1494,-21231.96044,A1_5a
285,690,-1,スギ,42.54669952,21.79999924,3.760100126,1.29393661,生立木,0,0,0,0,1,,133.5,136.9271393,37.29756315,144004.4898,-21235.24959,A1_5a
286,691,-1,スギ,34.95079804,21.10000038,5.349900246,0.874601364,生立木,0,0,0,0,1,,109.5999985,136.9271549,37.29762461,144011.3064,-21233.84954,A1_5a
287,692,-1,スギ,34.91069794,20,3.348799944,0.827611566,生立木,0,0,0,0,1,,109.5999985,136.9271384,37.29765262,144014.4184,-21235.3067,A1_5a
288,693,-1,スギ,34.81949997,19.79999924,2.381900072,0.81549263,生立木,0,0,0,0,1,,109.3000031,136.9271295,37.29763675,144012.6588,-21236.1013,A1_5a
289,694,-1,スギ,55.47449875,17.39999962,5.412199974,1.679881454,生立木,0,0,0,0,1,,174,136.9270846,37.29759659,144008.2129,-21240.0975,A1_5a
